                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.1038,                0.47879,                 1.1114,                0.96331,                0.97493,                 0.9879,                0.68339,                 1.1319,                0.46027,                 1.4068,              0.0079045,              0.0079045,              0.0079045
                    129,                 1.0867,                0.46187,                 1.1384,                0.96388,                0.98578,                0.98675,                0.68683,                 1.1351,                0.44953,                 1.4143,               0.007888,               0.007888,               0.007888
                    130,                 1.0771,                0.45624,                 1.1198,                0.96094,                0.98285,                 0.9864,                 0.6794,                 1.1518,                0.45602,                 1.4275,              0.0078715,              0.0078715,              0.0078715
                    131,                 1.0812,                0.46321,                 1.1272,                0.96931,                0.97889,                0.98728,                 0.6845,                 1.1505,                 0.4467,                 1.4245,               0.007855,               0.007855,               0.007855
                    132,                 1.0884,                0.46438,                 1.1157,                0.95377,                0.97625,                0.98588,                0.67458,                 1.1462,                0.46301,                  1.415,              0.0078385,              0.0078385,              0.0078385
                    133,                 1.0771,                0.46602,                  1.092,                0.96267,                 0.9723,                0.98527,                0.68179,                 1.1528,                0.45969,                 1.4194,               0.007822,               0.007822,               0.007822
                    134,                 1.0739,                0.46324,                 1.1305,                 0.9603,                0.95738,                0.98218,                0.67952,                 1.1425,                0.47155,                 1.3943,              0.0078055,              0.0078055,              0.0078055
                    135,                 1.0816,                0.45963,                 1.1344,                0.96404,                0.97361,                0.98679,                0.69274,                 1.1185,                0.45377,                  1.385,               0.007789,               0.007789,               0.007789
                    136,                 1.0693,                0.45843,                 1.1411,                0.96229,                0.97634,                0.98653,                0.68681,                 1.1614,                0.45065,                 1.4475,              0.0077725,              0.0077725,              0.0077725
                    137,                 1.0857,                0.46943,                 1.1288,                 0.9649,                0.97361,                 0.9854,                0.68513,                 1.1462,                  0.452,                 1.4106,               0.007756,               0.007756,               0.007756
                    138,                 1.0745,                0.45611,                 1.0971,                0.96367,                0.97987,                0.98644,                0.69017,                 1.1431,                 0.4522,                 1.4094,              0.0077395,              0.0077395,              0.0077395
                    139,                 1.0736,                0.45671,                 1.1346,                0.97102,                0.97098,                0.98755,                0.68565,                 1.1486,                0.45201,                 1.4124,               0.007723,               0.007723,               0.007723
                    140,                 1.0805,                0.45723,                 1.1098,                0.95586,                0.97757,                0.98663,                0.68471,                  1.128,                0.45151,                 1.3922,              0.0077065,              0.0077065,              0.0077065
                    141,                 1.0635,                0.44867,                 1.1257,                0.95713,                0.96702,                0.98624,                0.67641,                  1.158,                0.46713,                 1.4187,                0.00769,                0.00769,                0.00769
                    142,                 1.0691,                0.45466,                 1.1292,                0.96185,                0.98285,                0.98839,                0.68311,                 1.1553,                0.44687,                 1.4261,              0.0076735,              0.0076735,              0.0076735
                    143,                 1.0681,                0.45473,                  1.107,                0.96999,                 0.9807,                0.98881,                0.69564,                 1.1373,                0.44149,                 1.4316,               0.007657,               0.007657,               0.007657
                    144,                 1.0667,                0.45903,                 1.1343,                 0.9713,                0.98238,                0.98895,                0.69235,                 1.1386,                0.45329,                 1.4193,              0.0076405,              0.0076405,              0.0076405
                    145,                 1.0588,                0.44763,                 1.1257,                0.97427,                0.98285,                0.98862,                0.69761,                 1.1274,                0.43335,                 1.3991,               0.007624,               0.007624,               0.007624
                    146,                 1.0578,                0.44943,                 1.1395,                0.96872,                0.98053,                 0.9874,                0.70176,                 1.1029,                0.42961,                 1.3739,              0.0076075,              0.0076075,              0.0076075
                    147,                 1.0362,                0.44873,                 1.0994,                0.96732,                 0.9761,                0.98562,                 0.6869,                 1.1306,                0.45965,                 1.3861,               0.007591,               0.007591,               0.007591
                    148,                 1.0809,                0.45434,                 1.1126,                0.96061,                0.96519,                0.98507,                0.68633,                 1.1414,                0.46343,                 1.3882,              0.0075745,              0.0075745,              0.0075745
                    149,                 1.0549,                0.45098,                 1.1277,                0.96231,                0.97684,                0.98585,                0.69513,                 1.1333,                0.44334,                 1.4072,               0.007558,               0.007558,               0.007558
                    150,                 1.0563,                0.45297,                 1.0974,                0.96781,                0.97757,                0.98705,                0.69306,                 1.1389,                0.45059,                 1.4106,              0.0075415,              0.0075415,              0.0075415
                    151,                 1.0708,                0.45781,                 1.1176,                 0.9624,                0.97938,                0.98662,                0.68935,                 1.1326,                0.45616,                 1.4104,               0.007525,               0.007525,               0.007525
